MapID,RewardID1,RewardNum,Reward2,RewardNum2,Des
1,10001,100,,,"Aries is one of the constellations of the zodiac. It is located in the northern celestial hemisphere between Pisces to the west and Taurus to the east.It is one of the 48 constellations described by the 2nd century astronomer Ptolemy, and remains one of the 88 modern constellations."
2,10001,105,,,Cancer is one of the twelve constellations of the zodiac. Its name is Latin for crab.one of the closest open clusters to Earth and a popular target for amateur astronomers.
3,10001,110,,,"Libra is a constellation of the zodiac.It is fairly faint, with no first magnitude stars, is the brightest star in the constellation. Three star systems are known to have planets."
4,10001,115,,,"Leo is one of the constellations of the zodiac,One of the 48 constellations described by the 2nd-century astronomer Ptolemy,Leo remains one of the 88 modern constellations today,and one of the most easily recognizable due to its many bright stars and a distinctive shape that is reminiscent of the crouching lion it depicts. "
5,10001,120,,,"Taurus (Latin for ""the Bull"") is one of the constellations of the zodiac, which means it is crossed by the plane of the ecliptic. Taurus is a large and prominent constellation in the northern hemisphere's winter sky. It is one of the oldest constellations."
6,10001,125,10002,1,"Capricornus is one of the constellations of the zodiac. Its name is Latin for ""horned goat"" or ""goat horn"" or ""having horns like a goat's"", and it is commonly represented in the form of a sea-goat: a mythical creature that is half goat, half fish. "
7,10001,130,10002,2,"Gemini is one of the constellations of the zodiac. It was one of the 48 constellations described by the 2nd century AD astronomer Ptolemy and it remains one of the 88 modern constellations today. Its name is Latin for ""twins,"" and it is associated with the twins Castor and Pollux in Greek mythology. "
8,10001,135,10002,3,"Aquarius is a constellation of the zodiac,Aquarius is one of the oldest of the recognized constellations along the zodiac.It was one of the 48 constellations listed by the 2nd century astronomer Ptolemy, and it remains one of the 88 modern constellations. It is found in a region often called the Sea due."
9,10001,140,10002,4,Scorpius is one of the constellations of the zodiac. Scorpius is one of the 48 constellations identified by the Greek astronomer Ptolemy in the second century. It is an ancient constellation that pre-dated the Greeks.
10,10001,145,10002,5,"Virgo is one of the constellations of the zodiac. it is the second-largest constellation in the sky (after Hydra). It can be easily found through its brightest star, Spica."
11,10001,150,10002,6,Pisces is a constellation of the zodiac. It lies between Aquarius to the west and Aries to the east. The ecliptic and the celestial equator intersect within this constellation and in Virgo. 
12,10001,155,10002,7,Sagittarius is one of the constellations of the zodiac.Sagittarius is commonly represented as a centaur pulling-back a bow. The center of the Milky Way lies in the westernmost part of Sagittarius.
